Timestamp,Temperature[degC],Humidity[percent],PM[ug/m^3],PM[V],Latitude[deg],Longitude[deg],Altitude[m]
03/16/2017 05:51:50,---,---,---,---,---,---,---
03/16/2017 05:52:50,10.93,87.51,3.40,0.448,---,---,---
03/16/2017 05:53:50,11.26,86.94,2.49,0.381,---,---,---
03/16/2017 05:54:50,11.62,85.57,3.89,0.484,---,---,---
03/16/2017 05:55:50,12.01,84.31,2.37,0.372,---,---,---
03/16/2017 05:56:51,12.37,83.03,1.15,0.281,---,---,---
03/16/2017 05:57:50,12.73,81.75,1.09,0.276,---,---,---
03/16/2017 05:58:50,13.06,80.60,0.76,0.251,---,---,---
03/16/2017 05:59:50,13.36,79.34,2.70,0.397,---,---,---
03/16/2017 06:00:50,13.66,78.27,1.18,0.283,---,---,---
03/16/2017 06:01:50,13.91,77.00,0.84,0.257,---,---,---
03/16/2017 06:02:50,14.15,76.19,1.61,0.315,---,---,---
03/16/2017 06:03:50,14.37,75.73,1.15,0.281,---,---,---
03/16/2017 06:04:50,14.59,75.46,1.53,0.309,---,---,---
03/16/2017 06:05:50,14.80,73.77,1.16,0.282,---,---,---
03/16/2017 06:06:50,14.99,72.79,1.99,0.344,---,---,---
03/16/2017 06:07:51,15.17,71.89,0.70,0.247,---,---,---
03/16/2017 06:08:50,15.33,71.51,0.91,0.263,---,---,---
03/16/2017 06:09:50,15.48,70.77,1.34,0.295,---,---,---
03/16/2017 06:10:50,15.62,70.41,1.37,0.298,---,---,---
03/16/2017 06:11:50,15.75,69.83,3.11,0.426,---,---,---
03/16/2017 06:12:50,15.87,69.39,1.36,0.296,---,---,---
03/16/2017 06:13:50,15.97,69.21,1.08,0.276,---,---,---
03/16/2017 06:14:50,16.07,68.75,1.75,0.326,---,---,---
03/16/2017 06:15:50,16.17,68.41,1.62,0.316,---,---,---
03/16/2017 06:16:50,16.26,68.00,1.62,0.316,---,---,---
03/16/2017 06:17:50,16.34,67.74,1.63,0.317,---,---,---
03/16/2017 06:18:51,16.43,67.49,2.19,0.359,---,---,---
03/16/2017 06:19:50,16.50,67.44,1.27,0.290,---,---,---
03/16/2017 06:20:50,16.57,67.29,1.87,0.335,---,---,---
03/16/2017 06:21:50,16.64,66.92,2.28,0.365,---,---,---
03/16/2017 06:22:50,16.71,66.75,1.77,0.328,---,---,---
03/16/2017 06:23:50,16.76,66.77,2.10,0.352,---,---,---
03/16/2017 06:24:50,16.81,66.65,1.33,0.294,---,---,---
03/16/2017 06:25:50,16.87,66.45,2.27,0.364,---,---,---
03/16/2017 06:26:50,16.92,66.21,1.89,0.336,---,---,---
03/16/2017 06:27:50,16.97,66.00,2.65,0.393,---,---,---
03/16/2017 06:28:50,17.02,65.77,1.70,0.322,---,---,---
03/16/2017 06:29:51,17.06,65.54,1.91,0.338,---,---,---
03/16/2017 06:30:50,17.09,65.50,1.69,0.322,---,---,---
03/16/2017 06:31:50,17.13,65.26,1.96,0.342,---,---,---
03/16/2017 06:32:50,17.17,65.01,2.06,0.349,---,---,---
03/16/2017 06:33:50,17.19,65.03,2.37,0.372,---,---,---
03/16/2017 06:34:50,17.22,64.85,3.55,0.459,---,---,---
03/16/2017 06:35:50,17.25,64.85,2.32,0.369,---,---,---
03/16/2017 06:36:50,17.28,64.73,2.26,0.364,---,---,---
03/16/2017 06:37:50,17.31,64.68,2.34,0.370,---,---,---
03/16/2017 06:38:50,17.33,64.61,1.93,0.339,---,---,---
03/16/2017 06:39:50,17.35,64.37,1.56,0.312,---,---,---
03/16/2017 06:40:51,17.39,64.27,2.13,0.354,---,---,---
03/16/2017 06:41:50,17.42,64.37,2.16,0.356,---,---,---
03/16/2017 06:42:50,17.45,64.22,2.26,0.364,---,---,---
03/16/2017 06:43:50,17.45,64.19,1.54,0.310,---,---,---
03/16/2017 06:44:50,17.45,64.11,1.88,0.336,---,---,---
03/16/2017 06:45:50,17.46,64.04,1.76,0.327,---,---,---
03/16/2017 06:46:50,17.47,63.99,2.50,0.382,---,---,---
03/16/2017 06:47:50,17.47,64.12,2.13,0.354,---,---,---
03/16/2017 06:48:50,17.48,63.61,3.01,0.419,---,---,---
03/16/2017 06:49:50,17.50,63.55,3.20,0.433,---,---,---
03/16/2017 06:50:50,17.51,63.55,2.67,0.394,---,---,---
03/16/2017 06:51:51,17.52,63.42,1.66,0.319,---,---,---
03/16/2017 06:52:50,17.53,63.46,2.03,0.347,---,---,---
03/16/2017 06:53:50,17.54,63.38,1.54,0.310,---,---,---
03/16/2017 06:54:50,17.53,63.46,2.42,0.376,---,---,---
03/16/2017 06:55:50,17.54,63.59,4.33,0.515,---,---,---
03/16/2017 06:56:50,17.55,63.46,2.58,0.387,---,---,---
03/16/2017 06:57:50,17.56,63.44,2.58,0.388,---,---,---
03/16/2017 06:58:50,17.57,63.42,2.80,0.404,---,---,---
